Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
58,5220772589,iamtherealdraftking (2/3),0,136.55,1B Jared Young 2B Nick Sogard 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,Luis Torrens,C,4.88%,16
58,5220773326,zfisher91,0,136.55,1B Josh Bell 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Brandon Marsh,OF,4.71%,2
58,5220785092,harshreality18 (2/4),0,136.55,1B Jared Young 2B Xavier Edwards 3B Jorge Polanco C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Francisco Lindor,,Edmundo Sosa,SS,4.55%,8
58,5220785097,harshreality18 (4/4),0,136.55,1B Jared Young 2B Xavier Edwards 3B Jorge Polanco C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Francisco Lindor,,Chase DeLauter,OF,4.55%,0
58,5220785746,frieza_5g,0,136.55,1B Josh Bell 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Patrick Sandoval,P,4.55%,-0.2
64,5220752891,GGHOSTMANH (17/17),0,135.75,1B Kyle Schwarber 2B Xavier Edwards 3B Javier Sanoja C Drake Baldwin OF Heriberto Hernandez OF Esteury Ruiz OF Jakob Marsee P Eury Perez P Christian Scott SS Edmundo Sosa,,Drew Anderson,P,4.55%,11.65
65,5220753619,XYZee03 (9/17),0,135.7,1B Jared Young 2B Gleyber Torres 3B Leo Jimenez C Agustin Ramirez OF Ronald Acuna Jr. OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Christian Scott SS Otto Lopez,,Alec Bohm,3B,4.55%,25
66,5220753613,XYZee03 (3/17),0,135.55,1B Tim Tawa 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Matt McLain,2B,4.21%,0
67,5220764847,pdt13 (12/17),0,134.7,1B Bryce Harper 2B Bryson Stott 3B Colt Keith C Agustin Ramirez OF Trevor Larnach OF Heriberto Hernandez OF TJ Friedl P Dylan Cease P Christian Scott SS Francisco Lindor,,Kody Clemens,OF,4.21%,19
67,5220778658,theattack58,0,134.7,1B Jared Young 2B Ketel Marte 3B Bryson Stott C Agustin Ramirez OF Bryce Harper OF Javier Sanoja OF Edmundo Sosa P Dylan Cease P Christian Scott SS Francisco Lindor,,Jakob Marsee,OF,4.21%,2
69,5220751784,Wanna_Square_Up1567 (4/17),0,134.55,1B Abimelec Ortiz 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Corbin Carroll OF Esteury Ruiz OF Javier Sanoja P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Max Kepler,OF,4.21%,3
69,5220756741,cha457 (3/17),0,134.55,1B Jared Young 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Otto Lopez,,Ty France,1B,4.21%,0
69,5220781015,iamtherealdraftking (3/3),0,134.55,1B Jared Young 2B Nick Sogard 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Carson Benge OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,Alejandro Kirk,C,4.21%,5
69,5220783029,dean78904 (1/6),0,134.55,1B Munetaka Murakami 2B Jake Cronenworth 3B Miguel Vargas C Drew Romo OF A.J. Ewing OF Andrew Benintendi OF Gavin Sheets P Dylan Cease P Eury Perez SS Colson Montgomery,,Manny Machado,3B,4.04%,4
69,5220783033,dean78904 (5/6),0,134.55,1B Munetaka Murakami 2B Sam Antonacci 3B Miguel Vargas C Drew Romo OF Dominic Smith OF Brett Baty OF Gavin Sheets P Dylan Cease P Eury Perez SS Colson Montgomery,,Munetaka Murakami,1B,4.04%,16
69,5220783144,UWAlums03 (1/2),0,134.55,1B Kyle Schwarber 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Heriberto Hernandez OF Justin Crawford OF Edmundo Sosa P Dylan Cease P Eury Perez SS Geraldo Perdomo,,George Springer,OF,3.87%,0
75,5220752875,GGHOSTMANH (1/17),0,133.7,1B Sal Stewart 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Heriberto Hernandez OF Javier Sanoja OF Justin Crawford P Dylan Cease P Christian Scott SS Elly De La Cruz,,Nick Sogard,2B,3.87%,0
76,5220780255,nrd53920 (3/6),0,133.5,1B Matt Olson 2B Jake Cronenworth 3B Alec Bohm C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Andrew Painter SS Xander Bogaerts,,Jarren Duran,OF,3.87%,5
77,5220787606,drcrc (2/2),0,132.7,1B Jared Young 2B Sam Antonacci 3B Nick Yorke C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Adley Rutschman,C,3.87%,2
78,5220756745,cha457 (7/17),0,131.7,1B Nathaniel Lowe 2B Xavier Edwards 3B Jose Ramirez C Agustin Ramirez OF Esteury Ruiz OF Jo Adell OF Javier Sanoja P Dylan Cease P Christian Scott SS Otto Lopez,,Andrew Painter,P,3.87%,-0.75
79,5220764839,pdt13 (4/17),0,131.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Steven Kwan P Dylan Cease P Eury Perez SS Francisco Lindor,,Casey Mize,P,3.70%,21.1
80,5220785091,harshreality18 (1/4),0,130.7,1B Jared Young 2B Xavier Edwards 3B Jorge Polanco C Agustin Ramirez OF Byron Buxton OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Christian Scott SS Francisco Lindor,,Luke Keaschall,OF,3.70%,2
80,5220785096,harshreality18 (3/4),0,130.7,1B Jared Young 2B Xavier Edwards 3B Jorge Polanco C Agustin Ramirez OF Byron Buxton OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Christian Scott SS Francisco Lindor,,Brooks Lee,3B,3.70%,20
82,5220756750,cha457 (12/17),0,129.7,1B Michael Toglia 2B Jake Cronenworth 3B Colt Keith C Agustin Ramirez OF Ronald Acuna Jr. OF Corbin Carroll OF Jackson Merrill P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Sal Stewart,1B,3.54%,0
83,5220756747,cha457 (9/17),0,129.55,1B Ty France 2B Jake Cronenworth 3B Manny Machado C Agustin Ramirez OF Jackson Merrill OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Eury Perez SS Xander Bogaerts,,Jose Ramirez,3B,3.54%,8
83,5220764838,pdt13 (3/17),0,129.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Alec Bohm,1B,3.54%,25
83,5220768951,tvielkin (2/7),0,129.55,1B Kazuma Okamoto 2B Brett Baty 3B Bo Bichette C Agustin Ramirez OF Carson Benge OF Luis Robert Jr. OF Javier Sanoja P Dylan Cease P Eury Perez SS Francisco Lindor,,Bryce Elder,P,3.37%,18.5
83,5220773448,Thegamejoshyd44 (3/17),0,129.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Miguel Vargas,3B,3.20%,16
83,5220773460,Thegamejoshyd44 (8/17),0,129.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Leo Jimenez,3B,3.03%,3
83,5220775744,wesol33,0,129.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Kody Clemens,2B,3.03%,19
83,5220778568,zach2834,0,129.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Brett Baty,2B,3.03%,7
83,5220781798,Thegamejoshyd44 (14/17),0,129.55,1B Tim Tawa 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Drew Romo,C,3.03%,16
91,5220751721,mgo14,0,129.05,1B Abimelec Ortiz 2B Jake Cronenworth 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Michael Harris II OF Kody Clemens P Dylan Cease P Dean Kremer SS Francisco Lindor,,JJ Bleday,OF,2.86%,2
91,5220754849,Yossarian230,0,129.05,1B Abimelec Ortiz 2B Ketel Marte 3B Miguel Vargas C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Brett Bateman P Dylan Cease P Dean Kremer SS Francisco Lindor,,Jorge Barrosa,OF,2.86%,0
