tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Koch, Greg",28323,6100,0.0001,CUT,0,0,0,0,12.0,0,12.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Samooja, Kalle",14120,6400,0.0061,CUT,0,0,0,0,11.5,0,11.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Polland, Ben",20344,6100,0.0001,CUT,0,0,0,0,11.5,0,11.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Na, Kevin",7452,6900,0.0078,CUT,0,0,0,0,11.0,0,11.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rada, Patrick",28326,6200,0.0002,CUT,0,0,0,0,11.0,0,11.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Rai, Aaron",18554,6300,0.002,CUT,0,0,0,0,10.5,0,10.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Janewattananond, Jazz",14368,6500,0.0045,CUT,0,0,0,0,10.0,0,10.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kuchar, Matt",6169,7000,0.0306,CUT,0,0,0,0,10.0,0,10.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Champ, Cameron",23542,7100,0.0164,CUT,0,0,0,0,10.0,0,10.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kanaya, Takumi",19729,6300,0.0014,CUT,0,0,0,0,9.5,0,9.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Uresti, Omar",5183,6000,0.0003,CUT,0,0,0,0,7.0,0,7.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Holmes, Derek",28322,6100,0.0,CUT,0,0,0,0,7.0,0,7.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hoshino, Rikuya",19190,6200,0.0009,CUT,0,0,0,0,6.0,0,6.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Beach, Alex",23853,6000,0.0002,CUT,0,0,0,0,5.5,0,5.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Stone, Brandon",15229,6300,0.0028,CUT,0,0,0,0,5.5,0,5.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Gross, Larkin",28321,6100,0.0001,CUT,0,0,0,0,5.5,0,5.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Summerhays, Joe",8192,6100,0.0002,CUT,0,0,0,0,5.0,0,5.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Micheel, Shaun",4377,6200,0.0003,CUT,0,0,0,0,2.5,0,2.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Bensel, Jr., Frank",9434,6000,0.0001,CUT,0,0,0,0,1.5,0,1.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Skinner, Sonny",4549,6100,0.0001,CUT,0,0,0,0,1.0,0,1.0
